Name,Unit,Table_name,Min/max,Min/max clusters,Bloom filter,Dictionary,Min/max clusters (1000x),Bloom filter (1000x),Dictionary (1000x)
Size,B,call_center,0,0,0,0,0,0,0
Max Size,B,call_center,0,0,0,0,0,0,0
Size,B,catalog_page,3744,42384,32544,9352,346192,291744,14936
Max Size,B,catalog_page,208,8256,1808,916,80256,16208,3072
Size,B,catalog_returns,9867312,45938408,85769712,15960648,307323680,768891312,29026024
Max Size,B,catalog_returns,208,1056,1808,956,8256,16208,6744
Size,B,catalog_sales,124304544,580492056,1080493344,183862812,3915914288,9686192544,244496652
Max Size,B,catalog_sales,208,1056,1808,576,8256,16208,6668
Size,B,customer,913536,12625536,7940736,1507920,96124288,71185536,5373856
Max Size,B,customer,208,8256,1808,860,80256,16208,9072
Size,B,customer_address,329888,7828752,2867488,853712,56027152,25705888,3546512
Max Size,B,customer_address,208,8256,1808,2368,80256,16208,19632
Size,B,customer_demographics,438048,1090792,3807648,942260,2775592,34134048,942260
Max Size,B,customer_demographics,208,1056,1808,592,8256,16208,592
Size,B,date_dim,46592,266768,404992,86200,1221032,3630592,268628
Max Size,B,date_dim,208,8256,1808,860,80256,16208,5676
Size,B,household_demographics,0,0,0,0,0,0,0
Max Size,B,household_demographics,0,0,0,0,0,0,0
Size,B,income_band,0,0,0,0,0,0,0
Max Size,B,income_band,0,0,0,0,0,0,0
Size,B,inventory,40556672,128722776,352531072,63581452,830634832,3160300672,63581452
Max Size,B,inventory,208,1056,1808,376,8256,16208,376
Size,B,item,109824,1850304,954624,204000,12293104,8557824,432288
Max Size,B,item,208,8256,1808,1168,80256,16208,4448
Size,B,promotion,0,0,0,0,0,0,0
Max Size,B,promotion,0,0,0,0,0,0,0
Size,B,reason,0,0,0,0,0,0,0
Max Size,B,reason,0,0,0,0,0,0,0
Size,B,ship_mode,0,0,0,0,0,0,0
Max Size,B,ship_mode,0,0,0,0,0,0,0
Size,B,store,0,0,0,0,0,0,0
Max Size,B,store,0,0,0,0,0,0,0
Size,B,store_returns,14618240,72927152,127066240,22053864,505880064,1139098240,36955536
Max Size,B,store_returns,208,1056,1808,956,8256,16208,3124
Size,B,store_sales,168181520,853844640,1461885520,226398200,5523395168,13105221520,442746996
Max Size,B,store_sales,208,1056,1808,280,8256,16208,6752
Size,B,time_dim,20800,134896,180800,33616,998896,1620800,58416
Max Size,B,time_dim,208,8256,1808,432,80256,16208,1520
Size,B,warehouse,0,0,0,0,0,0,0
Max Size,B,warehouse,0,0,0,0,0,0,0
Size,B,web_page,0,0,0,0,0,0,0
Max Size,B,web_page,0,0,0,0,0,0,0
Size,B,web_returns,4382976,21930120,38098176,6493688,161005320,341534976,7719972
Max Size,B,web_returns,208,1056,1808,956,8256,16208,1680
Size,B,web_sales,62155808,298615064,540277408,91440756,1937877504,4843371808,120777620
Max Size,B,web_sales,208,1056,1808,592,8256,16208,6752
Size,B,web_site,0,0,0,0,0,0,0
Max Size,B,web_site,0,0,0,0,0,0,0
